Shortcut,Expansion
المبيظ,المبيض
الفاظي,الفاضي
المظاد,المضاد
الظائن,الضائن
المرظي,المرضي
المبغظ,المبغض
المجهظ,المجهض
المرظع,المرضع
المظيء,المضيء
المظجر,المضجر
المظحك,المضحك
المعظل,المعضل
المغرظ,المغرض
الباظع,الباضع
الحائظ,الحائض
المحرظ,المحرض
الحاظر,الحاضر
الحاظن,الحاضن
الحظنة,الحضنة
الحامظ,الحامض
الخاظع,الخاضع
الخظع,الخضع
الخظاع,الخضاع
الخظعة,الخضعة
المخفظ,المخفض
الخافظ,الخافض
الخفاظ,الخفاض
الخفظة,الخفضة
الرابظ,الرابض
الربوظ,الربوض
الرباظ,الرباض
الربظة,الربضة
الراظع,الراضع
الرظعة,الرضعة
الراظي,الراضي
الرظاة,الرضاة
الرافظ,الرافض
الرفاظ,الرفاض
الرفظة,الرفضة
المروظ,المروض
الظائع,الضائع
الظاغن,الضاغن
الظغان,الضغان
الظغنة,الضغنة
الظائق,الضائق
الظائم,الضائم
الظابط,الضابط
الظباط,الضباط
الظبطة,الضبطة
الظاجع,الضاجع
الظجاع,الضجاع
الظاحي,الضاحي
الظحاة,الضحاة
الظاحك,الضاحك
الظحاك,الضحاك
المظخم,المضخم
المظر,المضر
الظار,الضار
الظوار,الضوار
الظررة,الضررة
الظارب,الضارب
الظاغط,الضاغط
الظارع,الضارع
الظراع,الضراع
الظرعة,الضرعة
الظاري,الضاري
الظراة,الضراة
الظغاط,الضغاط
الظغطة,الضغطة
الظافي,الضافي
الظوال,الضوال
الظللة,الضللة
الظامر,الضامر
الظمار,الضمار
الظمرة,الضمرة
الظامن,الضامن
الظمنة,الضمنة
الظاوي,الضاوي
الظواة,الضواة
العارظ,العارض
المعوظ,المعوض
الغاظب,الغاضب
الغظاب,الغضاب
الغامظ,الغامض
الغماظ,الغماض
الغمظة,الغمضة
الفائظ,الفائض
الفارظ,الفارض
الفاظح,الفاضح
الفظاح,الفضاح
الفظحة,الفضحة
الفاظل,الفاضل
الفظال,الفضال
القابظ,القابض
القارظ,القارض
القراظ,القراض
القرظة,القرضة
القاظب,القاضب
القاظم,القاضم
القظام,القضام
القظمة,القضمة
القاظي,القاضي
القظاة,القضاة
المقوظ,المقوض
الممرظ,الممرض
الماظي,الماضي
المظاة,المضاة
النابظ,النابض
النباظ,النباض
المنظد,المنضد
الناظب,الناضب
النظب,النضب
الناظج,الناضج
النظاح,النضاح
النظحة,النضحة
الناظح,الناضح
النافظ,النافض
النفظة,النفضة
الناهظ,الناهض
النهظ,النهض
الهاظم,الهاضم
الهظام,الهضام
الهظمة,الهضمة
الواظح,الواضح
الوظاح,الوضاح
الوظحة,الوضحة
الموظح,الموضح
الواظع,الواضع
الوظاع,الوضاع
الوظعة,الوضعة
الوامظ,الوامض
المفظل,المفضل
المظاف,المضاف
المظغة,المضغة
المظطر,المضطر
المظمر,المضمر
المظنى,المضنى
المخظب,المخضب
المظرج,المضرج
المظرس,المضرس
المظعف,المضعف
المظلع,المضلع
المغمظ,المغمض
المفظظ,المفضض
المفوظ,المفوض
المهيظ,المهيض
الفياظ,الفياض
الخواظ,الخواض
الظمنى,الضمنى
العظل,العضل
الهظوم,الهضوم
الظحوك,الضحوك
الظروس,الضروس
الظروط,الضروط
الظرط,الضرط
العظوظ,العضوض
العظظ,العضض
الغظوب,الغضوب
الركوظ,الركوض
البغيظ,البغيض
الخظيب,الخضيب
النقيظ,النقيض
الخظير,الخضير
الرظيع,الرضيع
الرظيف,الرضيف
الرميظ,الرميض
الظئيل,الضئيل
الظريج,الضريج
الظرير,الضرير
الظريس,الضريس
الظريع,الضريع
الظعيف,الضعيف
الظعاف,الضعاف
الظفير,الضفير
الظليع,الضليع
الظميم,الضميم
الأظمة,الأضمة
العريظ,العريض
الغظير,الغضير
الغظيظ,الغضيض
الأغظة,الأغضة
الفظيل,الفضيل
القظيظ,القضيض
المريظ,المريض
المرظى,المرضى
المراظ,المراض
النظيد,النضيد
الهظيم,الهضيم
الوظيء,الوضيء
الوظاء,الوضاء
الحظظ,الحضض
الظريم,الضريم
الظمين,الضمين
الوظيع,الوضيع
الأبيظ,الأبيض
البيظ,البيض
الأخظر,الأخضر
الغظبى,الغضبى
العظال,العضال
الظخم,الضخم
الظخام,الضخام
الأوظح,الأوضح
الوظحى,الوضحى
الأظيق,الأضيق
الظيقى,الضيقى
الظوقى,الضوقى
الأظخم,الأضخم
الظخمى,الضخمى
الأفظل,الأفضل
الفظلى,الفضلى
الأمظى,الأمضى
المظيا,المضيا
الأظل,الأضل
العرظي,العرضي
الأرظي,الأرضي
الحظري,الحضري
الحمظي,الحمضي
العظوي,العضوي
الهظمي,الهضمي
الرظي,الرضي
المظب,المضب
الظيغم,الضيغم
العظاة,العضاة
الفاظة,الفاضة
النظو,النضو
الهظب,الهضب
إظافة,إضافة
الترظي,الترضي
الخفظ,الخفض
الظوي,الضوي
الظرج,الضرج
الخياظ,الخياض
الظنو,الضنو
الظرى,الضرى
الغظان,الغضان
الفظو,الفضو
الغظو,الغضو
الظهى,الضهى
القوظ,القوض
الظوع,الضوع
الفيوظ,الفيوض
المحيظ,المحيض
المحاظ,المحاض
الظغو,الضغو
الرفوظ,الرفوض
الظفو,الضفو
النوظ,النوض
البظيظ,البضيض
الظوى,الضوى
الظناء,الضناء
النظي,النضي
الوظء,الوضء
الغظى,الغضى
التظوء,التضوء
الرظو,الرضو
الظراح,الضراح
الظخ,الضخ
المظيظ,المضيض
الحبظ,الحبض
الظج,الضج
الظمام,الضمام
الوظوع,الوضوع
الومظ,الومض
الوظوح,الوضوح
الوفظ,الوفض
العظ,العض
الأنوظ,الأنوض
الأنيظ,الأنيض
الظرح,الضرح
النظور,النضور
الظمخ,الضمخ
الهظل,الهضل
الظروح,الضروح
الحروظ,الحروض
النفوظ,النفوض
الرظب,الرضب
الدحوظ,الدحوض
الرظخ,الرضخ
الظحاء,الضحاء
الحرظ,الحرض
الظجع,الضجع
الظجوع,الضجوع
النظل,النضل
الباغظ,الباغض
الحابظ,الحابض
الحارظ,الحارض
الخاظب,الخاضب
الداحظ,الداحض
الراظخ,الراضخ
الراظف,الراضف
الراكظ,الراكض
الظابح,الضابح
الظابر,الضابر
الظابن,الضابن
الظاحل,الضاحل
الظارح,الضارح
الظارس,الضارس
الظاعف,الضاعف
الظاغث,الضاغث
الظاغم,الضاغم
الظامخ,الضامخ
الظامد,الضامد
العاظد,العاضد
العاظل,العاضل
الغارظ,الغارض
الماحظ,الماحض
الماخظ,الماخض
الماظر,الماضر
الناظخ,الناضخ
الناظد,الناضد
الناظل,الناضل
الناقظ,الناقض
الهاظب,الهاضب
الهاظل,الهاضل
المومظ,المومض
المتظح,المتضح
المخظر,المخضر
المنظخ,المنضخ
المنفظ,المنفض
المنقظ,المنقض
المحمظ,المحمض
المحوظ,المحوض
المدحظ,المدحض
المظرم,المضرم
المحظظ,المحضض
المخظع,المخضع
المرظف,المرضف
المظمد,المضمد
المظيع,المضيع
المفظح,المفضح
المنهظ,المنهض
المظمن,المضمن
الظاج,الضاج
العاظ,العاض
الظام,الضام
الفاظ,الفاض
الغاظ,الغاض
المظوئ,المضوئ
الخائظ,الخائض
المفيظ,المفيض
البائظ,البائض
الظاني,الضاني
الممظي,الممضي
المنظي,المنضي
المظحي,المضحي
المظفي,المضفي
المفظي,المفضي
المقظي,المقضي
الظاهي,الضاهي
الغاظي,الغاضي
الناظي,الناضي
الخفيظ,الخفيض
النظاخ,النضاخ
المأبظ,المأبض
المآبظ,المآبض
المحبظ,المحبض
المفرظ,المفرض
الخظام,الخضام
التعظي,التعضي
التبظع,التبضع
النظوخ,النضوخ
التظمر,التضمر
الأخظع,الأخضع
الأظرع,الأضرع
الأقظم,الأقضم
الظعفة,الضعفة
الفوظة,الفوضة
المحظن,المحضن
النظخة,النضخة
الوفاظ,الوفاض
النظوج,النضوج
الموظة,الموضة
الظهي,الضهي
المعظد,المعضد
المغظب,المغضب
الممظى,الممضى
الأظأل,الأضأل
الأظبط,الأضبط
الظياف,الضياف
التظجر,التضجر
الظخما,الضخما
الظنكا,الضنكا
المظري,المضري
الحوظي,الحوضي
الحيظي,الحيضي
الوظعي,الوضعي
الربظي,الربضي
البيظي,البيضي
النظدي,النضدي
الظللي,الضللي
الرظفي,الرضفي
الظجعي,الضجعي
الظحكي,الضحكي
الظرمي,الضرمي
الروظي,الروضي
الخظمي,الخضمي
الخظري,الخضري
الفظحي,الفضحي
الظمدي,الضمدي
الظرري,الضرري
الظيفي,الضيفي
الظيقي,الضيقي
الظبري,الضبري
الظغثي,الضغثي
الخظبي,الخضبي
الوظحي,الوضحي
الخوظي,الخوضي
العظلي,العضلي
العوظي,العوضي
الظعفي,الضعفي
الغمظي,الغمضي
النظجي,النضجي
الغظني,الغضني
المظظي,المضضي
الفوظي,الفوضي
الفرظي,الفرضي
الظخمي,الضخمي
الفظلي,الفضلي
النفظي,النفضي
النقظي,النقضي
الظيعي,الضيعي
القظبي,القضبي
القبظي,القبضي
البغظي,البغضي
الظرسي,الضرسي
القرظي,القرضي
القظي,القضي
الظجي,الضجي
الظفي,الضفي
البظي,البضي
الظمي,الضمي
الغظي,الغضي
الظدان,الضدان
الظدي,الضدي
الظادي,الضادي
الظوئي,الضوئي
الظعي,الضعي
الظوري,الضوري
الفيظي,الفيضي
الهيظي,الهيضي
الظيمي,الضيمي
النظحي,النضحي
الغظين,الغضين
بالبعظ,بالبعض
بالعوظ,بالعوض
بالظمن,بالضمن
بالبظع,بالبضع
بالظاد,بالضاد
بالأرظ,بالأرض
بالحظن,بالحضن
بالحمظ,بالحمض
بالحوظ,بالحوض
بالحيظ,بالحيض
بالخظر,بالخضر
بالخظم,بالخضم
بالدحظ,بالدحض
بالربظ,بالربض
بالرظف,بالرضف
بالروظ,بالروض
بالظأن,بالضأن
بالظب,بالضب
بالأظب,بالأضب
بالظبة,بالضبة
بالظبع,بالضبع
بالظبن,بالضبن
بالظجة,بالضجة
بالظحى,بالضحى
بالظد,بالضد
بالظرس,بالضرس
بالظرع,بالضرع
بالظعف,بالضعف
بالظغث,بالضغث
بالظيم,بالضيم
بالظغن,بالضغن
بالظفة,بالضفة
بالظفف,بالضفف
بالظمر,بالضمر
بالظيق,بالضيق
بالعرظ,بالعرض
بالعظد,بالعضد
بالغرظ,بالغرض
بالغظا,بالغضا
بالغظن,بالغضن
بالغمظ,بالغمض
بالفرظ,بالفرض
بالفظل,بالفضل
بالقظة,بالقضة
بالظرم,بالضرم
بالنظد,بالنضد
بالنفظ,بالنفض
بالنقظ,بالنقض
بالظمة,بالضمة
بالبظ,بالبض
بالبظة,بالبضة
بالبغظ,بالبغض
بالخوظ,بالخوض
بالخظب,بالخضب
بالرظع,بالرضع
بالرظ,بالرض
بالرظا,بالرضا
بالرظى,بالرضى
بالرفظ,بالرفض
بالركظ,بالركض
بالرمظ,بالرمض
بالظوء,بالضوء
بالظور,بالضور
بالظير,بالضير
بالظيع,بالضيع
بالظيف,بالضيف
بالظبط,بالضبط
بالظبح,بالضبح
بالظبر,بالضبر
بالظجر,بالضجر
بالظحو,بالضحو
بالظحك,بالضحك
بالظحل,بالضحل
بالظرر,بالضرر
بالظغط,بالضغط
بالظغم,بالضغم
بالظف,بالضف
بالظم,بالضم
بالظمد,بالضمد
بالظنى,بالضنى
بالظنك,بالضنك
بالغظ,بالغض
بالغظب,بالغضب
بالغظر,بالغضر
بالفيظ,بالفيض
بالفظح,بالفضح
بالقبظ,بالقبض
بالقرظ,بالقرض
بالقظظ,بالقضض
بالقظ,بالقض
بالقظب,بالقضب
بالقظم,بالقضم
بالمحظ,بالمحض
بالمخظ,بالمخض
بالمرظ,بالمرض
بالمظي,بالمضي
بالمظظ,بالمضض
بالمظ,بالمض
بالمظغ,بالمضغ
بالنبظ,بالنبض
بالنظ,بالنض
بالنظج,بالنضج
بالنظح,بالنضح
بالنظخ,بالنضخ
بالهيظ,بالهيض
بالهظم,بالهضم
بالوظح,بالوضح
بالوظع,بالوضع
بالظعة,بالضعة
بالخظع,بالخضع
بالمظر,بالمضر
بالظار,بالضار
بالنظب,بالنضب
بالنهظ,بالنهض
بالعظل,بالعضل
بالظرط,بالضرط
بالعظظ,بالعضض
بالحظظ,بالحضض
بالبيظ,بالبيض
بالظخم,بالضخم
بالأظل,بالأضل
بالرظي,بالرضي
بالمظب,بالمضب
بالنظو,بالنضو
بالهظب,بالهضب
بالخفظ,بالخفض
بالظوي,بالضوي
بالظي,بالضي
بالظرج,بالضرج
بالظنو,بالضنو
بالظرى,بالضرى
بالفظو,بالفضو
بالغظو,بالغضو
بالظهى,بالضهى
بالقوظ,بالقوض
بالظوع,بالضوع
بالظغو,بالضغو
بالظفو,بالضفو
بالنوظ,بالنوض
بالظوى,بالضوى
بالنظي,بالنضي
بالوظء,بالوضء
بالغظى,بالغضى
بالرظو,بالرضو
بالظخ,بالضخ
بالحبظ,بالحبض
بالظج,بالضج
بالومظ,بالومض
بالوفظ,بالوفض
بالعظ,بالعض
بالظرح,بالضرح
بالظمخ,بالضمخ
بالهظل,بالهضل
بالرظب,بالرضب
بالرظخ,بالرضخ
بالحرظ,بالحرض
بالظجع,بالضجع
بالنظل,بالنضل
بالظاج,بالضاج
بالعاظ,بالعاض
بالظام,بالضام
بالفاظ,بالفاض
بالغاظ,بالغاض
بالظهي,بالضهي
بالقظي,بالقضي
بالظجي,بالضجي
بالظفي,بالضفي
بالفظي,بالفضي
بالبظي,بالبضي
بالظمي,بالضمي
بالغظي,بالغضي
بالظدي,بالضدي
بالظعي,بالضعي
والبعظ,والبعض
والعوظ,والعوض
والظمن,والضمن
والبظع,والبضع
والظاد,والضاد
والأرظ,والأرض
والحمظ,والحمض
والحوظ,والحوض
والحيظ,والحيض
والخظر,والخضر
والخظم,والخضم
والدحظ,والدحض
والربظ,والربض
والرظف,والرضف
والروظ,والروض
والظأن,والضأن
والظب,والضب
والأظب,والأضب
والظبة,والضبة
والظبع,والضبع
والظبن,والضبن
والظجة,والضجة
والظحى,والضحى
والظد,والضد
والظرس,والضرس
والظرع,والضرع
والظعف,والضعف
والظغث,والضغث
والظيم,والضيم
والظغن,والضغن
والظفة,والضفة
والظفف,والضفف
والظمر,والضمر
والظيق,والضيق
والعرظ,والعرض
والعظد,والعضد
والغرظ,والغرض
والغظا,والغضا
والغظن,والغضن
والغمظ,والغمض
والفرظ,والفرض
والفظل,والفضل
والقظة,والقضة
والظرم,والضرم
والنظد,والنضد
والنفظ,والنفض
والنقظ,والنقض
والظمة,والضمة
والبظ,والبض
والبظة,والبضة
والبغظ,والبغض
والخوظ,والخوض
والخظب,والخضب
والرظع,والرضع
والرظ,والرض
والرظا,والرضا
والرظى,والرضى
والرفظ,والرفض
والركظ,والركض
والرمظ,والرمض
والظوء,والضوء
والظور,والضور
والظير,والضير
والظيع,والضيع
والظيف,والضيف
والظبط,والضبط
والظبح,والضبح
والظبر,والضبر
والظجر,والضجر
والظحو,والضحو
والظحك,والضحك
والظحل,والضحل
والظرر,والضرر
والظغط,والضغط
والظغم,والضغم
والظف,والضف
والظم,والضم
والظمد,والضمد
والظنى,والضنى
والظنك,والضنك
والغظ,والغض
والغظب,والغضب
والغظر,والغضر
والفيظ,والفيض
والفظح,والفضح
والقبظ,والقبض
والقرظ,والقرض
والقظظ,والقضض
والقظ,والقض
والقظب,والقضب
والقظم,والقضم
والمحظ,والمحض
والمخظ,والمخض
والمرظ,والمرض
والمظي,والمضي
والمظظ,والمضض
والمظ,والمض
والمظغ,والمضغ
والنبظ,والنبض
والنظ,والنض
والنظج,والنضج
والنظح,والنضح
والنظخ,والنضخ
والهيظ,والهيض
والهظم,والهضم
والوظح,والوضح
والوظع,والوضع
والظعة,والضعة
والخظع,والخضع
والمظر,والمضر
والظار,والضار
والنظب,والنضب
والنهظ,والنهض
والعظل,والعضل
والظرط,والضرط
والعظظ,والعضض
والحظظ,والحضض
والبيظ,والبيض
والظخم,والضخم
والأظل,والأضل
والرظي,والرضي
والمظب,والمضب
والنظو,والنضو
والهظب,والهضب
والخفظ,والخفض
والظوي,والضوي
والظرج,والضرج
والظنو,والضنو
والظرى,والضرى
والفظو,والفضو
والغظو,والغضو
والظهى,والضهى
والقوظ,والقوض
والظوع,والضوع
والظغو,والضغو
والظفو,والضفو
والنوظ,والنوض
والظوى,والضوى
والنظي,والنضي
والوظء,والوضء
والغظى,والغضى
والرظو,والرضو
والظخ,والضخ
والحبظ,والحبض
والظج,والضج
والومظ,والومض
والوفظ,والوفض
والعظ,والعض
والظرح,والضرح
والظمخ,والضمخ
والهظل,والهضل
والرظب,والرضب
والرظخ,والرضخ
والحرظ,والحرض
والظجع,والضجع
والنظل,والنضل
والظاج,والضاج
والعاظ,والعاض
والظام,والضام
والفاظ,والفاض
والغاظ,والغاض
والظهي,والضهي
والقظي,والقضي
والظجي,والضجي
والظفي,والضفي
والبظي,والبضي
والظمي,والضمي
والغظي,والغضي
والظدي,والضدي
والظعي,والضعي
فالبعظ,فالبعض
فالعوظ,فالعوض
فالظمن,فالضمن
فالبظع,فالبضع
فالظاد,فالضاد
فالأرظ,فالأرض
فالحمظ,فالحمض
فالحوظ,فالحوض
فالحيظ,فالحيض
فالخظر,فالخضر
فالخظم,فالخضم
فالدحظ,فالدحض
فالربظ,فالربض
فالرظف,فالرضف
فالروظ,فالروض
فالظأن,فالضأن
فالظب,فالضب
فالأظب,فالأضب
فالظبة,فالضبة
فالظبع,فالضبع
فالظبن,فالضبن
فالظجة,فالضجة
فالظحى,فالضحى
فالظد,فالضد
فالظرس,فالضرس
فالظرع,فالضرع
فالظعف,فالضعف
فالظغث,فالضغث
فالظيم,فالضيم
فالظغن,فالضغن
فالظفة,فالضفة
فالظفف,فالضفف
فالظمر,فالضمر
فالظيق,فالضيق
فالعرظ,فالعرض
فالعظد,فالعضد
فالغرظ,فالغرض
فالغظا,فالغضا
فالغظن,فالغضن
فالغمظ,فالغمض
فالفرظ,فالفرض
فالفظل,فالفضل
فالقظة,فالقضة
فالظرم,فالضرم
فالنظد,فالنضد
فالنفظ,فالنفض
فالنقظ,فالنقض
فالظمة,فالضمة
فالبظ,فالبض
فالبظة,فالبضة
فالبغظ,فالبغض
فالخوظ,فالخوض
فالخظب,فالخضب
فالرظع,فالرضع
فالرظ,فالرض
فالرظا,فالرضا
فالرظى,فالرضى
فالرفظ,فالرفض
فالركظ,فالركض
فالرمظ,فالرمض
فالظوء,فالضوء
فالظور,فالضور
فالظير,فالضير
فالظيع,فالضيع
فالظيف,فالضيف
فالظبط,فالضبط
فالظبح,فالضبح
فالظبر,فالضبر
فالظجر,فالضجر
فالظحو,فالضحو
فالظحك,فالضحك
فالظحل,فالضحل
فالظرر,فالضرر
فالظغط,فالضغط
فالظغم,فالضغم
فالظف,فالضف
فالظم,فالضم
فالظمد,فالضمد
فالظنى,فالضنى
فالظنك,فالضنك
فالغظ,فالغض
فالغظب,فالغضب
فالغظر,فالغضر
فالفيظ,فالفيض
فالفظح,فالفضح
فالقبظ,فالقبض
فالقرظ,فالقرض
فالقظظ,فالقضض
فالقظ,فالقض
فالقظب,فالقضب
فالقظم,فالقضم
فالمحظ,فالمحض
فالمخظ,فالمخض
فالمرظ,فالمرض
فالمظي,فالمضي
فالمظظ,فالمضض
فالمظ,فالمض
فالمظغ,فالمضغ
فالنبظ,فالنبض
فالنظ,فالنض
فالنظج,فالنضج
فالنظح,فالنضح
فالنظخ,فالنضخ
فالهيظ,فالهيض
فالهظم,فالهضم
فالوظح,فالوضح
فالوظع,فالوضع
فالظعة,فالضعة
فالخظع,فالخضع
فالمظر,فالمضر
فالظار,فالضار
فالنظب,فالنضب
فالنهظ,فالنهض
فالعظل,فالعضل
فالظرط,فالضرط
فالعظظ,فالعضض
فالحظظ,فالحضض
فالبيظ,فالبيض
فالظخم,فالضخم
فالأظل,فالأضل
فالرظي,فالرضي
فالمظب,فالمضب
فالنظو,فالنضو
فالهظب,فالهضب
فالخفظ,فالخفض
فالظوي,فالضوي
فالظرج,فالضرج
فالظنو,فالضنو
فالظرى,فالضرى
فالفظو,فالفضو
فالغظو,فالغضو
فالظهى,فالضهى
فالقوظ,فالقوض
فالظوع,فالضوع
فالظغو,فالضغو
فالظفو,فالضفو
فالنوظ,فالنوض
فالظوى,فالضوى
فالنظي,فالنضي
فالوظء,فالوضء
فالغظى,فالغضى
فالرظو,فالرضو
فالظخ,فالضخ
فالحبظ,فالحبض
فالظج,فالضج
فالومظ,فالومض
فالوفظ,فالوفض
فالعظ,فالعض
فالظرح,فالضرح
فالظمخ,فالضمخ
فالهظل,فالهضل
فالرظب,فالرضب
فالرظخ,فالرضخ
فالحرظ,فالحرض
فالظجع,فالضجع
فالنظل,فالنضل
فالظاج,فالضاج
فالعاظ,فالعاض
فالظام,فالضام
فالفاظ,فالفاض
فالغاظ,فالغاض
فالظهي,فالضهي
فالقظي,فالقضي
فالظجي,فالضجي
فالظفي,فالضفي
فالبظي,فالبضي
فالظمي,فالضمي
فالغظي,فالغضي
فالظدي,فالضدي
فالظعي,فالضعي
كالبعظ,كالبعض
كالعوظ,كالعوض
كالظمن,كالضمن
كالبظع,كالبضع
كالظاد,كالضاد
كالأرظ,كالأرض
