Shortcut,Expansion
audeince,audience
audiance,audience
availalbe,available
avf,AVF
avod,After voiding about 20ml. residual urine.
avop,After voiding practically no residual urine
avts,abutting the ventral thecal sac and both exiting nerve roots with no spinal canal stenosis.
awa,as well as
awya,away
aywa,away
bakc,back
balence,balance
ballance,balance
baout,about
bavf,Bulky uterus with AVF position and no focal lesion in its tissue with normal endometrial thickness.
bb,broad based
bcak,back
bch,both cerebral hemispheres
bd,(by: BPD)
beacuse,because
becasue,because
becaus,because
becausea,because a
becauseof,because of
becausethe,because the
becauseyou,because you
becomeing,becoming
becomming,becoming
becuase,because
becuse,because
befoer,before
beggining,beginning
begining,beginning
beginining,beginning
beleiev,believe
beleieve,believe
beleif,belief
beleive,believe
beleived,believed
beleives,believes
benifit,benefit
benifits,benefits
betwen,between
beutiful,beautiful
bf,body-fundus
bfd,(by: FL & BPD)
bfl,(by: FL)
bg,basal ganglial
bibi,bicornis bicollis
bil,bilateral
bk,both kidneys
bkf,"Mildly distended gaseous bowels (functional?) with no visible intestinal masses, pathologically enlarged lymph nodes or ascites in the abdominal cavity."
bkn,"Both kidneys are normal in size, parenchymal thickness and echopattern with no stones or back-pressure in both kidneys."
blase,blas�
bo,both ovaries
boen,bone
boht,both
boxs,boxes
bp,back-pressure
bps,"Bladder, prostate and seminal vesicles are normal"
bro,bronchiectatic
brodcast,broadcast
brpns,8mm. sequential axial cuts from the base of the skull up to the vertex followed by thin coronal images from paranasal sinuses were performed and revealed:
bs,both sides
btd,but this doesn't exclude the possibility of mild cystitis as regarding patient complaint.
butthe,but the
bv,blood vessels
bve,be
bw,backward
bws,bone window setting
byby,About 37wks. + 2 days (by BPD) and about 38wks. + 3 days (by FL)
byt he,by the
c12,C1/C2
c1c2,C1/C2
c23,C2/C3
c2c3,C2/C3
c34,C3/C4
c3c4,C3/C4
c45,C4/C5
c4c5,C4/C5
c56,C5/C6
c5c6,C5/C6
c67,C6/C7
c6c7,C6/C7
cafe,caf�
caharcter,character
cal,calcification
calcullated,calculated
calulated,calculated
can't of been,can�t have been
can;t,can�t
candidtae,candidate
candidtaes,candidates
catagory,category
categiory,category
cb,conchae bullosae
cba,concha bullosa
cbd,CBD
cch,complicated cyst including hemorrhagic
cct,The current CT scan revealed
ce,calyceal-end
cep,"cephalic presentation,"
certian,certain
cf,cholesteatoma formation
cfc,central fat-containing
cgb,Contracted GB (patient is not fasting) with no stones inside its lumen.
ch,changes
challange,challenge
challanges,challenges
chaneg,change
chanegs,changes
changable,changeable
changeing,changing
changng,changing
charachter,character
charachters,characters
charactor,character
charecter,character
charector,character
chd,CHD
cheif,chief
chekc,check
chnage,change
chp,chronic pansinusitis
chr,chronic
chs,chronic sinusitis
cieling,ceiling
cir,circumferential
circut,circuit
cirrotic,cirrhotic
claer,clear
claered,cleared
claerly,clearly
clc,corpus luteal cyst
cld,chronic liver disease
cliant,client
cliche,clich�
clpd,chronic liver parenchymal disease
cma,currently measuring about
cmd,cortico-medullary differentiation
cna,can
cns,central nasal septum.
colection,collection
colle,collection
comanies,companies
comany,company
comapnies,companies
comapny,company
combintation,combination
comi,commissures
comited,committed
comittee,committee
comm,comminuted
commadn,command
comming,coming
commitee,committee
committe,committee
committment,commitment
committments,commitments
committy,committee
comntain,contain
comntains,contains
comp,compression
compair,compare
company;s,company�s
compen,compensatory
compleated,completed
compleatly,completely
compleatness,completeness
completly,completely
completness,completeness
composate,composite
comtain,contain
comtains,contains
comunicate,communicate
comunity,community
condolances,condolences
conected,connected
conferance,conference
confirmmation,confirmation
considerit,considerate
considerite,considerate
consonent,consonant
conspiricy,conspiracy
consultent,consultant
cont,"<p style=""text-align:justify""><span style=""color:#000000""><span style=""font-size:24px""><strong><span style=""font-family:Arial,Helvetica,sans-serif""><em><u><span style=""background-color:#999999;"">??Control on 15/08/2026:</span></u> Practically the same previous findings.</em></span></strong></span></span></p>"
convertable,convertible
cooparate,cooperate
cooporate,cooperate
corproation,corporation
corproations,corporations
corruptable,corruptible
cotten,cotton
coudl,could
coudln't,couldn�t
coudn't,couldn�t
could of been,could have been
could of had,could have had
couldn;t,couldn’t
couldnt,couldn’t
couldthe,could the
cp,"cephalic presentation,"
cpc,CT picture compatible with
cpo,CT picture of
cpoy,copy
cps,CT picture of subcortical arteriosclerotic leukoencephalopathy
creme,cr�me
cs,cortical sulci
csf,CSF
cso,centrum semiovale
csom,chronic suppurative otitis media
csp,cavum septum pellucidum and vergae (variation)
ct,CT
ctaegory,category
ctsom,CT picture compatible with left sided chronic suppurative otitis media with no definitive CT signs of cholesteatoma formation *
ctsub,CT picture compatible with subcortical arterio-sclerotic leukoencephalopathy evidenced by
cua,check-up after 10 days to assess the viability of the gestational sac.
cul,cul-de-sac
cusotmer,customer
cusotmers,customers
cutsomer,customer
cutsomers,customers
cva,CVA
cvi,cavum velum interpositum
cxan,can
d1,D1
da,Prof. Ali Alashwal
daa,Prof. Abdulwase'a Alaqel
dah,Dr. Abdullatif Alhuraimy
dam,Dr. Abdulmalik Qais.MD
dan,Prof. Afif Alnabehi
danceing,dancing
das,Dr. Aqeel Alshami
daw,Prof. Abdullah Alzaw'a
daz,Prof. Abdulkarim G. Zeid
db,disc bulge
dc,"Straightness of cervical spine with spondylodegenerative changes manifested by multilevel disc dehydration, anterior osteophytes."
dca,diffuse cerebral atrophy
dcc,Dysgenetic corpus callosum
dcument,document
dcw,"Moderate deep cerebral white matter changes in the form of small confluent ischemic patches at periventricular and centrum semiovale level, in addition to several bilateral basal ganglial and para-ventricular lacunar infarcts of different ages"
dd,ductal dilatation
ddb,diffuse disc bulge
ddc,discogenic degenerative changes
ddd,disc degenerative disease
deatils,details
dec,decreased
decison,decision
decisons,decisions
decor,d�cor
defendent,defendant
definately,definitely
deg,degenerative
deja vu,d�j� vu
deptartment,department
des,Dr. Etidal Alsharjabi
desicion,decision
desicions,decisions
desision,decision
desisions,decisions
detente,d�tente
develeoprs,developers
devellop,develop
develloped,developed
develloper,developer
devellopers,developers
develloping,developing
devellopment,development
devellopments,developments
devellops,develop
develope,develop
developement,development
developements,developments
developor,developer
developors,developers
develpment,development
dh,disc herniation
dha,Dr . Huda Al.sharabi MD
dhs,Dr . Huda Al.sharabi MD
dia,"Dr. Iman Ali Al-Ashwal  MD,"
diaplay,display
didi,diamniotic dichorionic
didint,didn�t
didn;t,didn�t
didnot,did not
didnt,didn�t
difefrent,different
diferences,differences
differance,difference
differances,differences
differant,different
differemt,different
differnt,different
diffrent,different
dil,dilatation
directer,director
directers,directors
directiosn,direction
disatisfied,dissatisfied
discoverd,discovered
disign,design
dispaly,display
dissonent,dissonant
distribusion,distribution
divsion,division
dj,DJ
dlq,Dr. Loai M.S.Alkubate
dma,Dr. Mohammed Alkamali
dmd,Dr. Mohammed Derhim
dmdc,diffuse osteoporosis with mild degenerative changes of the scanned spine
dmk,Dr. Mohamed Alkamali
dmo,Dr. Mohammed D. Othman
dms,"Dr. Marwan Saif, MD,"
dmsa,Dr. Marwn Shuja'a-Aldeen
dnml,"Mildly distended bowels with no visible intestinal masses, pathologically enlarged lymph nodes or ascites in the abdominal cavity."
do'nt,don�t
docuement,documents
docuemnt,document
documetn,document
documnet,document
documnets,documents
dod,"Dr. Osama Dawood, MD."
doe snot,does not
doens't,doesn�t
doese,does
doesn;t,doesn�t
doesnt,doesn�t
doign,doing
doimg,doing
doind,doing
dollers,dollars
don't no,don�t know
don;t,don�t
donig,doing
dont,don�t
dop,Diffuse osteoporosis with mild degenerative changes of the scanned spine.
doppler,Doppler
dosn't,doesn�t
dp,Douglas-pouch
dpa,Dorsalis pedis arteries
dpr,disc prolapse
dpro,disc protrusion
drb,"Dr. Randa Albukhaiti, MD"
dre,Dr. Etidal Alsharjabi
dri,"<p style=""text-align: right;""><span style=""font-size:18px;""><span style=""color:#000000""><span style=""font-family:Arial,Helvetica,sans-serif""><em>Dr </em></span></span></span></p>"
driveing,driving
drnik,drink
ds,disc space
dw,downward
dwm,"perisupraventricular deep white matter, specially ventrally"
dwv,Dandy Walker Variant
ea,epiploic appendagitis
eac,ethmoidal air cells
eba,evident by anterior osteophytes and intradiscal air bubbles
ech,echopattern
eclair,�clair
edd,(EDD: 07/10/20222 � 2wks)
efel,feel
effecient,efficient
efi,evident by fine irregularity of vertebral endplates and dehydrated disc
efort,effort
eforts,efforts
ehr,her
ei,extra-intra
eligable,eligible
embarass,embarrass
emigre,�migr�
enc,encephalomalacic
enh,enhancement
enha,enhancing
enl,enlarged
enought,enough
enr,exiting nerve roots
entree,entr�e
ep,endplate
equippment,equipment
equivalant,equivalent
esle,else
especally,especially
especialyl,especially
espesially,especially
ethm,ethmoidal
evi,evidence of
evid,evident by
excellant,excellent
excercise,exercise
exchagne,exchange
exchagnes,exchanges
excitment,excitement
exhcange,exchange
exhcanges,exchanges
experiance,experience
experienc,experience
exprience,experience
exprienced,experienced
ext,extension
eyt,yet
facade,fa�ade
faeture,feature
faetures,features
familair,familiar
familar,familiar
familliar,familiar
famm,Normal sized GB with about 5x3mm well-defined hyperechoic non-shadowing nodule fixed to the posterior wall of GB neck indicating focal adenomyomatosis with no obvious dense stones or abnormal wall thickening.
fammiliar,familiar
fb,foreign body
fc,fluid collection
fca,for check-up after 6 months.
feild,field
feilds,fields
ff,fluid-filled
ffu,for follow up
fha,for histological assessment
fhr,(FHR : 130bpm)
fianlly,finally
fib,fibrobronchiectatic
fidn,find
finalyl,finally
firends,friends
firts,first
fj,facet joints
flh,flaval ligaments hypertrophy
fo,of
follwo,follow
follwoing,following
fora,for a
foriegn,foreign
forthe,for the
forwrd,forward
forwrds,forwards
foudn,found
foward,forward
fowards,forwards
fpi,fractured pars interarticularis of
frc,(for regular control)
freind,friend
freindly,friendly
freinds,friends
frmo,from
fromt he,from the
fromthe,from the
fu,for follow-up
fub,fundus-body
furneral,funeral
fw,forward
fwe,few
garantee,guarantee
gaurd,guard
gb,GB
gcbd,with gradual tapering of CBD and no visible stones inside its lumen.
gemeral,general
gerat,great
geting,getting
gettin,getting
gfc,grafian follicular cyst
gg,geniculate ganglion
gga,ground glass attenuation
gi,giving impression of
gievn,given
git,GIT
giveing,giving
gloabl,global
goign,going
gonig,going
govenment,government
goverment,government
gruop,group
gruops,groups
grwo,grow
gs,gestational sac inside the uterine fundus body
gsp,giving sonographic picture of
gu,Gravid uterus
guidlines,guidelines
hadbeen,had been
hadn;t,hadn�t
haev,have
haf,Hypoplastic aspect of both frontal sinuses
hapen,happen
hapened,happened
hapening,happening
hapens,happens
happend,happened
hasbeen,has been
hasn;t,hasn�t
hasnt,hasn�t
havebeen,have been
haveing,having
haven;t,haven�t
hbt,hepatic biliary tree
hda,had
he;ll,he�ll
heaptic,hepatic
hearign,hearing
helpfull,helpful
hema,hematoma
hemo,hemorrhage
hep,hepatomegaly
herat,heart
here;s,here�s
hesaid,he said
hete,heterogeneous
hewas,he was
hfi,hyperostosis frontalis interna
hfl,and no hepatic focal lesion.
hge,he
hismelf,himself
hlep,help
hn,hydro-nephrosis
hnt,hypertrophied nasal turbinates
hsa,has
hsi,his
hte,the
htere,there
htese,these
htey,they
hting,thing
htink,think
htis,this
htp:,http:
http:\\,http://
httpl,http:
hun,hydroureteronephrosis
hvae,have
hvaing,having
hwich,which
hy,hypertrophy
hyd,hypertrophied
i,I
i snot,is not
"i""m",I�m
i;d,I�d
i;ll,I�ll
iab,intradiscal air bubbles
iat,in addition to
icw,In comparison with previous CT scan dated
ida,intradiscal air collection
idae,idea
idaes,ideas
identofy,identify
ie,intra-extra
ihs,his
iits the,it�s the
ij,internal jugular
ild,ill-defined
imediate,immediate
imediatly,immediately
imf,intramural fibroid
immediatly,immediately
importent,important
importnat,important
impossable,impossible
improvemnt,improvement
improvment,improvement
inc,increased
incl,including
includ,include
indecate,indicate
inden,indenting
indenpendence,independence
indenpendent,independent
indepedent,independent
independance,independence
independant,independent
indi,indicating
inf,inflammatory
infl,inflammatory
infli,infiltration
influance,influence
infomation,information
informatoin,information
inital,initial
ins,indicating non-specific inflammatory lymph nodes
instaleld,installed
insted,instead
insurence,insurance
int he,in the
inteh,in the
interum,interim
inthe,in the
inwhich,in which
ip,inflammatory process
irl,indicating reactive lymph nodes
irr,irregular
irt,in relation to primary process
isc,ischemic
isn;t,isn�t
isthe,is the
it snot,it�s not
it' snot,it�s not
it;ll,it�ll
it;s,it�s
itis,it is
ititial,initial
itnerest,interest
itnerested,interested
itneresting,interesting
itnerests,interests
its a,it�s a
its the,it�s the
itwas,it was
iucd,IUCD
iufd,intrauterine fetal death
ivc,IVC
ivd,indenting ventral dural sac with no compression on exiting nerve roots or spinal canal stenosis
ivg,intravesical growth
ivh,intravitreous hemorrhage
iwll,will
iwth,with
jsut,just
jugment,judgment
kco,Known case of
knowldge,knowledge
knowlege,knowledge
knwo,know
knwon,known
knwos,knows
konw,know
konwn,known
konws,knows
l1,L1
l12,L1/L2
l1l2,L1/L2
l2,L2
l23,L2/L3
l2l3,L2/L3
l3,L3
l34,L3/L4
l3l4,L3/L4
l4,L4
l45,L4/L5
l4l5,L4/L5
l5,L5
l51,L5/S1
l5s1,L5/S1
labratory,laboratory
lam,loss of aeration of both mastoid bones with sclerotic aspect
lastyear,last year
lb,left breast
lc,lymphangitis carcinomatosa
learnign,learning
lenght,length
let's him,lets him
let's it,lets it
let;s,let�s
leu,leukomalacic
levle,level
lfh,ligamentum flavum hypertrophy
lgps,"Liver, GB, pancreas and spleen are normal."
lhl,left hepatic lobe
libary,library
librarry,library
librery,library
liek,like
liekd,liked
lieutenent,lieutenant
liev,live
likly,likely
lisense,license
littel,little
litttle,little
liuke,like
liveing,living
lk,left kidney
lma,the largest measures about
ln,lymph nodes
lns,likely non-specific inflammatory lymph nodes
lo,left ovary
loc,left ovarian cyst
loca,localization
locali,localized
loev,love
lonly,lonely
lookign,looking
lpp,likely premenstrual phase
ls,left sided
lw,leftward
lxt,(length x maximum thickness)
lyma,lymphadenopathy
madc,Mild additional degenerative changes of the rest of the scanned vertebrae
maintenence,maintenance
makeing,making
managment,management
mantain,maintain
mapp,Mildly thickened inflamed appendix (xxx mm in its AP diameter)
marraige,marriage
mat,"Both kidneys, Liver, GB, pancreas and spleen (maternal) are normal."
mavf,Mildly enlarged uterus with AVF position and no focal lesion in its tissue with normal endometrial thickness.
mavfl,Mildly enlarged uterus with AVF position and mild deviation to left (variation).
mavfr,Mildly enlarged uterus with AVF position and mild deviation to right (variation).
maxi,maxillary
may of been,may have been
may of had,may have had
mbdd,Mild bilateral retroareolar ductal dilatation
mbo,mild degree bony osteoporosis
mca,mild degree cerebral atrophy
mdc,Mild degenerative changes of the scanned spine.
mdca,Mild degree cerebral atrophy.
mdcc,Mild degenerative spondylosis of the scanned spine.
mdd,Mild discogenic degenerative changes
mddb,Mild diffuse disc bulge at the level of
mddc,Mild discogenic degenerative changes at L5/S1 with mild diffuse disc bulge at the same level causing compression of the dural surface impending both exiting nerve roots with no spinal canal stenosis. *
mdq,Dr. Mohamed Derhim Alqadasi
mds,Mild dilatation of supra-tentorial ventricular system and extra-cerebral CSF spaces including sylvian fissure as well as cerebral sulci.
mdsp,Mild degenerative spondylosis of the scanned spine.
meas,measures
meh,meso-epi-hypotympanic
memeber,member
merchent,merchant
mesage,message
mesages,messages
mets,metastatic
mff,Mild fluid collection in cul-de-sac. PID? Ruptured cyst?.
mfi,mild  fatty  infiltration
mfl,more from left
mfr,more from right
mgb,Mildly thickened GB (reactive to liver disease) with no stones.
mhep,Mildly enlarged right hepatic lobe (mostly Riedel's lobe as a congenital variation) and normal sized left lobe with mild fatty infiltration and no focal lesion in the hepatic tissue.
mhi,mild hypertrophy of inferior nasal turbinates
mho,Mild hypertrophy of nasal turbinates and anterior nasal septum
mi,more impressive of
mib,malleus and body of incus and long process of malleus and incus *
might of been,might have been
might of had,might have had
mild,Mild
min,Mild irregular nasal septal deviation
mis,mastoid air spaces
mispell,misspell
mispelling,misspelling
mispellings,misspellings
mkae,make
mkaes,makes
mkaing,making
ml,mass lesion
mliv,Mildly enlarged liver with no focal lesion in its tissue
mlivm,Mildly enlarged liver with mild degree fatty infiltration.
mlivmm,Mildly enlarged liver with moderate degree fatty infiltration.
mlms,multiloculated multiseptated
mmavfl,Moderately enlarged uterus with AVF position and mild deviation to left (variation).
mmavfr,Moderately enlarged uterus with AVF position and mild deviation to right (variation).
mmbo,moderate degree bony osteoporosis
mmdc,Moderate degenerative changes of the scanned spine.
mmho,Moderate hypertrophy of nasal turbinates and anterior nasal septum
mmt,mild mucosal thickening
mmti,moderately thickened inferior nasal turbinates
mns,indicating non-specific inflammatory lymph nodes
mo,moderate
mod,moderately
modi,monochorionic-diamniotic
modic,Modic
moeny,money
mol,more on left
momo,monochorionic monoamniotic
mor,more on right
morgage,mortgage
mp,Mildly enlarged prostate
mpp,Mild pleuro-parenchymatous fibrotic changes
mps,male pseudo hormophromoditism
mri,MRI
mroe,more
ms,mild splenomegaly
msa,Dr. Marwan Shuja'a-Aldeen
msc,Mild spondylotic changes of the thoracic spine.
msdc,Mild spondylodegenerative changes of the scanned spine.
msl,Evidence of medium sized lucent area with sclerotic edge at the opposing surface of L4/L5 level indicating schmorl's nodes.
mspl,Mild splenomegaly (12x5cm) with coarse structure. Infectious disease? Others?.
mssc,Mild spastic straightness of the cervical vertebrae indicating muscle spasm.*
msucle,muscle
msucles,muscles
mt,mucosal thickening
mta,(maximum thickness about mm)
mte,"with moderately thickened endometrium, likely premenstrual phase"
mti,mildly thickened inferior nasal turbinates
mtl,more to left
mtm,Mild mucosal thickening of both maxillary sinuses with preserved aeration of the rest of paranasal sinuses
mtr,more to right
mub,mildly thickened UB wall with no stones or intravesical growth.
mubc,Mildly thickened UB wall reflecting cystitis with no stones or intravesical growth.
muco,mucosal
mul,multiple
must of been,must have been
must of had,must have had
mvs,multiple variable sized
mysefl,myself
myu,my
na,normal appearing
nab,"Normal appearing bony labyrinth including cochlea, vestibule and semi-circular canals. Normal appearing labyrinthine, tympanic and mastoid portions of facial nerve canal"
nabd,"Both kidneys are normal in size, parenchymal thickness and echopattern with no stones or back-pressure in both kidneys."
nabg,Normal appearing basal ganglia and both thalamus.
nac,No abnormal contrast enhancement after contrast administration. *
naive,na�ve
nao,Normal appearing ostiomeatal complex on either side.
nap,No available previous study for comparison.
napp,No definitive sonographic signs of distended obstructed appendix.
nappc,No definitive CT signs of distended obstructed appendix.
nar,narrowing
navf,Normal sized uterus with AVF position and no focal lesion in its tissue with normal endometrial thickness.
navfl,Normal sized uterus with AVF position and mild deviation to left (variation).
navfr,Normal sized uterus with AVF position and mild deviation to right (variation).
nbr,No localized lesion in the brain tissue with preserved gray-white matter interface and normal appearing basal ganglial and thalamic regions as well as extra-intra cerebral fluid spaces
ncd,Normal color Doppler study of umbilical artery
ncfb,Not completely full bladder. No gross changes in the pelvic region.
ncp,"Normal appearing ossoicular chains, cochlear promontories, cochlear turns, labyrinthine, horizontal and vertical portions of facial nerves canals as well as internal auditory and semicircular canals"
ncs,no clear separation from
ndf,non-displaced fracture
ndl,newly developed lesions
nec,Non-enhanced CT study (without IV contrast).
necassarily,necessarily
necassary,necessary
neccessarily,necessarily
neccessary,necessary
necesarily,necessarily
necesary,necessary
nect,Non-enhanced CT (without IV contrast).
negotiaing,negotiating
nem,Normal endometrial thickness. No focal myometrial lesion
neoplasatic,neoplastic
nes,Normal appearing both middle and inner ear structures.
nex,Normal extra-intra hepatic biliary tree.
nff,No free fluid collection in cul-de-sac.
nfl,No focal lesion in its tissue. Normal endometrial thickness.
ngb,Normal sized GB with no stones or abnormal wall thickening.
nhl,NHL
nkow,know
nliv,Normal sized liver with no focal lesion in its tissue.
nlivm,Normal sized liver with mild degree fatty infiltration.
nlivmm,Normal sized liver with moderate degree fatty infiltration.
nlivw,Normal sized liver with about
nll,No localized lesion in the hepatic tissue as well as in the scanned lower pulmonary fields.
nmd,No evidence of neuronal migration disorder or callosal abnormality.
nmt,Normal pneumatization of mastoid and tympanic cavities
nnm,No neuronal migration disorder or callosal abnormality.
noh,No obvious hepatic focal lesion.
nono,no compression of the both exiting nerve roots no spinal canal stenosis
normbr,No localized lesion in the brain tissue with preserved gray-white matter interface and normal appearing extra-intra cerebral fluid spaces.
norminj,No evidence of sizable epi-subdural or intracerebral hematoma and preserved gray-white matter interface with normal appearing basal ganglial and thalamic regions as well as extra-intra cerebral fluid spaces. No sizable subcutaneous soft tissue swelling or
normorb,"Normal size and configuration of both eyes with no localized lesion in retrobulbar, sellar, para and suprasellar regions."
normpr,"About 20wks. single alive pregnancy (EDD: ___/___/2022 � 2wks) with normal cardiac pulsation, antero-fundal placenta, closed cervix and adequate amount of amniotic fluid volume. No gross fetal anomalies noted. *"
normtr,"No definitive sonographic signs of hepatic, splenic or renal traumatic changes, no measurable amount of free fluid collection in the abdominal cavity or recognizable wall thickening of the visualized bowel segment."
nothign,nothing
np,Normal size and structure of prostate.
npe,No pathologically enlarged lymph nodes in both sides of the neck.
npm,normal pneumatization of mastoid and tympanic cavities with normal appearing middle and inner ears structures.
npns,Normal pneumatization of the paranasal sinuses and mastoid air spaces.
npt,normal parenchymal thickness
nr,nerve root
nrc,nerve roots compression
nrt,No residual or recurrent tumor at the surgical bed.
ns,nasal septum
nsa,No stones along the course of both ureters.
nsb,with no stones or backpressure.
nscd,normal spinal canal diameter
nsd,nasal septal deviation.
nse,Normal size and excretory function of both kidneys
nsen,Normal size and parenchymal thickness of both kidneys
nsm,No sizable mass lesion or abnormal wall thickening along the course of alimentary tract.
nsn,No sizable nodal enlargement or measurable amount of fluid collection in the abdomino-pelvic cavities.
nsp,Normal size and parenchymal thickness of both kidneys
nss,Normal size and structure of
nsso,Normal size and structure of both ovaries.
nst,nasal septal turbinate
nt,nasal turbinates
nthy,Normal size of all thyroid tissue
ntr,No evidence of sizable epi-subdural or intracerebral hematoma and preserved gray-white matter interface with normal appearing basal ganglial and thalamic regions as well as extra-intra cerebral fluid spaces. No sizable subcutaneous soft tissue swelling or
nub,Normal UB wall thickness with no stones or intravesical growth.
nubp,Normal UB and prostate with unremarkable post-voiding residual urine.
nuo,Normal uterus and both ovaries.
nup,Normal UB and prostate with unremarkable post-voiding residual urine.*
nve,"No vertebral endplates, facet joints or sacroiliac joints degenerative changes"
nver,never
nwe,new
nwf,"Normal waveform and velocity of umbilical, internal cerebral and uterine arteries blood flow with average RI of umbilical arteries 50%, internal cerebral artery 63% and uterine artery 52%. No gross fetal anomalies."
nwo,now
obediant,obedient
obli,obliterating
obv,obvious
ocasion,occasion
occassion,occasion
occured,occurred
occurence,occurrence
occurrance,occurrence
oci,osteitis condensans ilii
oclock,o'clock
ocur,occur
oeprator,operator
ofits,of its
oft he,of the
ofthe,of the
oging,going
ohter,other
oir,(old insult related)
oirp,as old insult related process
omre,more
oneof,one of
onepoint,one point
ont he,on the
onthe,on the
onyl,only
op,O'clock position
opa,opacification of
oppasite,opposite
opperation,operation
oppertunity,opportunity
opposate,opposite
opposible,opposable
opposit,opposite
oppotunities,opportunities
oppotunity,opportunity
opsf,otherwise practically the same previous findings.
orginization,organization
orginized,organized
os,oval shaped
otehr,other
oth,otherwise
otu,out
outof,out of
ova,oval-shaped
overthe,over the
owrk,work
owuld,would
oxident,oxidant
pa,Prof. Ali Al-Ashwal
paa,Prof. Abdulwasea Alaqel
pab,Prof. Ahmed Albaredah
pag,Prof. Abdulelah Ghailan
pah,pulmonary arterial hypertension
papaer,paper
paq,Prof. Antar Alaffari
par,preserved aeration of the rest of paranasal sinuses and mastoid air spaces.
parliment,parliament
partof,part of
paymetn,payment
paymetns,payments
paz,Prof. Abdullah Alzaw'a
pc,Post cholecystectomy.
pcho,Post-cholecystectomy.
pciture,picture
pco,Enlarged both ovaries (Rt. xxxx and Lt. xxx) with several small (3-6mm) bilateral peripheral cortical cysts producing picture of polycystic ovaries. Clinical and lab (hormonal) correlation should be considered.
pcs,pelvicalyceal system
pd,parenchymal disease
pdwm,perisupraventricular deep white matter
pe,pleural effusion
peice,piece
peices,pieces
peolpe,people
peopel,people
percentof,percent of
percentto,percent to
performence,performance
perhasp,perhaps
perhpas,perhaps
permanant,permanent
perminent,permanent
personalyl,personally
phm,pseudohermaphroditism
phys,post-hysterectomy.
pi,parsinterarticularis
pic,picture
pif,pars interarticularis fracture
pkc,Patient known case of
pl,parenchymal loss
pla,partial loss of aeration of
pleasent,pleasant
pll,Partial loss of aeration of left mastoid bone with sclerotic aspect and normal pneumatization of right mastoid and both tympanic cavities with normal appearing middle and inner ears structures.
plr,Partial loss of aeration of right mastoid bone with sclerotic aspect and normal pneumatization of left mastoid and both tympanic cavities with normal appearing middle and inner ears structures.
pma,Prof. Mohamed Asdah
pmt,polypoid mucosal thickening
pn,pyelonephritis
pne,pneumatization
pnr,preexiting nerve roots
pns,paranasal sinuses
po,post-operative
poeple,people
poly,polypoid
porblem,problem
porblems,problems
porvide,provide
pos,with post-operative scar in the anterior wall of the lower uterine segment as post-cesarean condition.
possable,possible
posteiro,posterior
postieor,posterior
postion,posterio
postior,posterior
postition,position
potentialy,potentially
pp,producing picture of
ppf,periportal fibrosis
ppfc,pleuro-parenchymatous fibrotic changes
ppi,pleuro-parenchymatous infiltrates
pr,parenchymal reduction
pra,Prof. Rashad A. Ghani
pregnent,pregnant
presance,presence
pro,prominent
probelm,problem
probelms,problems
prominant,prominent
protege,prot�g�
protoge,prot�g�
ps,planum sphenoidale
psf,??Control on 07/07/2026: Practically the same previous findings.
psoition,position
pss,porto-splenic venous system
psv,porto-systemic venous collaterals
pt,parenchymal thickness
pth,Prof. Talal Haider
ptogress,progress
ptt,polypoid tumorous thickening
ptw,perisupraventricular deep white matter
