Shortcut,Expansion
beleive,believe
beleived,believed
beleives,believes
benifit,benefit
benifits,benefits
betwen,between
beutiful,beautiful
bf,body-fundus
bfl,(by: FL)
bg,basal ganglial
bibi,bicornis bicollis
bil,bilateral
bk,both kidneys
blase,blasé
bo,both ovaries
boen,bone
boht,both
boxs,boxes
bp,back-pressure
bro,bronchiectatic
brodcast,broadcast
bs,both sides
butthe,but the
bv,blood vessels
bve,be
bw,backward
byt he,by the
c12,C1/C2
c1c2,C1/C2
c23,C2/C3
c2c3,C2/C3
c34,C3/C4
c3c4,C3/C4
c45,C4/C5
c4c5,C4/C5
c56,C5/C6
c5c6,C5/C6
c67,C6/C7
c6c7,C6/C7
cafe,café
caharcter,character
cal,calcification
calcullated,calculated
calulated,calculated
can't of been,can’t have been
can;t,can’t
candidtae,candidate
candidtaes,candidates
catagory,category
categiory,category
cb,conchae bullosae
cba,concha bullosa
cbd,CBD
ce,calyceal-end
cep,"cephalic presentation,"
certian,certain
cf,cholesteatoma formation
ch,changes
challange,challenge
challanges,challenges
chaneg,change
chanegs,changes
changable,changeable
changeing,changing
changng,changing
charachter,character
charachters,characters
charactor,character
charecter,character
charector,character
chd,CHD
cheif,chief
chekc,check
chnage,change
chp,chronic pansinusitis
chr,chronic
chs,chronic sinusitis
cieling,ceiling
cir,circumferential
circut,circuit
cirrotic,cirrhotic
claer,clear
claered,cleared
claerly,clearly
cliant,client
cliche,cliché
cna,can
coase,coarse
colection,collection
colle,collection
comanies,companies
comany,company
comapnies,companies
comapny,company
combintation,combination
comi,commissures
comited,committed
comittee,committee
comm,comminuted
commadn,command
comming,coming
commitee,committee
committe,committee
committment,commitment
committments,commitments
committy,committee
comntain,contain
comntains,contains
comp,compression
compair,compare
company;s,company’s
compen,compensatory
compleated,completed
compleatly,completely
compleatness,completeness
completly,completely
completness,completeness
composate,composite
comtain,contain
comtains,contains
comunicate,communicate
comunity,community
condolances,condolences
conected,connected
conferance,conference
confirmmation,confirmation
considerit,considerate
considerite,considerate
consonent,consonant
conspiricy,conspiracy
consultent,consultant
convertable,convertible
cooparate,cooperate
cooporate,cooperate
corproation,corporation
corproations,corporations
corruptable,corruptible
cotten,cotton
coudl,could
coudln't,couldn’t
coudn't,couldn’t
could of been,could have been
could of had,could have had
couldn;t,couldn’t
couldnt,couldn’t
couldthe,could the
cp,"cephalic presentation,"
cpoy,copy
creme,crème
cs,cortical sulci
csf,CSF
cso,centrum semiovale
ct,CT
ctaegory,category
cusotmer,customer
cusotmers,customers
cutsomer,customer
cutsomers,customers
cva,CVA
cxan,can
d1,D1
danceing,dancing
db,disc bulge
dcument,document
dd,ductal dilatation
deatils,details
dec,decreased
decison,decision
decisons,decisions
decor,décor
defendent,defendant
definately,definitely
deg,degenerative
deja vu,déjà vu
deptartment,department
desicion,decision
desicions,decisions
desision,decision
desisions,decisions
detente,détente
develeoprs,developers
devellop,develop
develloped,developed
develloper,developer
devellopers,developers
develloping,developing
devellopment,development
devellopments,developments
devellops,develop
develope,develop
developement,development
developements,developments
developor,developer
developors,developers
develpment,development
dh,disc herniation
diaplay,display
didi,diamniotic dichorionic
didint,didn’t
didn;t,didn’t
didnot,did not
didnt,didn’t
difefrent,different
diferences,differences
differance,difference
differances,differences
differant,different
differemt,different
differnt,different
diffrent,different
dil,dilatation
directer,director
directers,directors
directiosn,direction
disatisfied,dissatisfied
discoverd,discovered
disign,design
dispaly,display
dissonent,dissonant
distribusion,distribution
divsion,division
dj,DJ
do'nt,don’t
docuement,documents
docuemnt,document
documetn,document
documnet,document
documnets,documents
doe snot,does not
doens't,doesn’t
doese,does
doesn;t,doesn’t
doesnt,doesn’t
doign,doing
doimg,doing
doind,doing
dollers,dollars
don't no,don’t know
don;t,don’t
donig,doing
dont,don’t
doppler,Doppler
dosn't,doesn’t
dp,Douglas-pouch
dpr,disc prolapse
dpro,disc protrusion
driveing,driving
drnik,drink
ds,disc space
dw,downward
ea,epiploic appendagitis
ech,echopattern
eclair,éclair
efel,feel
effecient,efficient
efort,effort
eforts,efforts
ehr,her
ei,extra-intra
eligable,eligible
elvel,level
embarass,embarrass
emigre,émigré
enc,encephalomalacic
enh,enhancement
enha,enhancing
enl,enlarged
enought,enough
entree,entrée
ep,endplate
equippment,equipment
equivalant,equivalent
esle,else
especally,especially
especialyl,especially
espesially,especially
ethm,ethmoidal
evi,evidence of
evid,evident by
excellant,excellent
excercise,exercise
exchagne,exchange
exchagnes,exchanges
excitment,excitement
exhcange,exchange
exhcanges,exchanges
experiance,experience
experienc,experience
exprience,experience
exprienced,experienced
ext,extension
eyt,yet
facade,façade
faeture,feature
faetures,features
familair,familiar
familar,familiar
familliar,familiar
fammiliar,familiar
fb,foreign body
fc,fluid collection
feild,field
feilds,fields
ff,fluid-filled
fhr,(FHR : 130bpm)
fianlly,finally
fib,fibrobronchiectatic
fidn,find
finalyl,finally
firends,friends
firts,first
fj,facet joints
fo,of
follwo,follow
follwoing,following
fora,for a
foriegn,foreign
forthe,for the
forwrd,forward
forwrds,forwards
foudn,found
foward,forward
fowards,forwards
freind,friend
freindly,friendly
freinds,friends
frmo,from
fromt he,from the
fromthe,from the
fub,fundus-body
furneral,funeral
fw,forward
fwe,few
garantee,guarantee
gaurd,guard
gb,GB
gemeral,general
gerat,great
geting,getting
gettin,getting
gg,geniculate ganglion
gievn,given
git,GIT
giveing,giving
gloabl,global
goign,going
gonig,going
govenment,government
goverment,government
gruop,group
gruops,groups
grwo,grow
gu,Gravid uterus
guidlines,guidelines
hadbeen,had been
hadn;t,hadn’t
haev,have
hapen,happen
hapened,happened
hapening,happening
hapens,happens
happend,happened
hasbeen,has been
hasn;t,hasn’t
hasnt,hasn’t
havebeen,have been
haveing,having
haven;t,haven’t
hda,had
he;ll,he’ll
heaptic,hepatic
hearign,hearing
helpfull,helpful
hema,hematoma
hemo,hemorrhage
hep,hepatomegaly
herat,heart
here;s,here’s
hesaid,he said
hete,heterogeneous
hewas,he was
hge,he
hismelf,himself
hlep,help
hn,hydro-nephrosis
hsa,has
hsi,his
hte,the
htere,there
htese,these
htey,they
hting,thing
htink,think
htis,this
htp:,http:
http:\\,http://
httpl,http:
hun,hydroureteronephrosis
hvae,have
hvaing,having
hwich,which
hy,hypertrophy
hyd,hypertrophied
i,I
i snot,is not
"i""m",I’m
i;d,I’d
i;ll,I’ll
iat,in addition to
idae,idea
idaes,ideas
identofy,identify
ie,intra-extra
ihs,his
iits the,it’s the
ij,internal jugular
ild,ill-defined
imediate,immediate
imediatly,immediately
imf,intramural fibroid
immediatly,immediately
importent,important
importnat,important
impossable,impossible
improvemnt,improvement
improvment,improvement
inc,increased
incl,including
includ,include
indecate,indicate
inden,indenting
indenpendence,independence
indenpendent,independent
indepedent,independent
independance,independence
independant,independent
indi,indicating
inf,inflammatory
infl,inflammatory
infli,infiltration
influance,influence
infomation,information
informatoin,information
inital,initial
instaleld,installed
insted,instead
insurence,insurance
int he,in the
inteh,in the
interum,interim
inthe,in the
inwhich,in which
ip,inflammatory process
irr,irregular
isc,ischemic
isn;t,isn’t
isthe,is the
it snot,it’s not
it' snot,it’s not
it;ll,it’ll
it;s,it’s
itis,it is
ititial,initial
itnerest,interest
itnerested,interested
itneresting,interesting
itnerests,interests
its a,it’s a
its the,it’s the
itwas,it was
iucd,IUCD
ivc,IVC
ivg,intravesical growth
ivh,intravitreous hemorrhage
iwll,will
iwth,with
jsut,just
jugment,judgment
knowldge,knowledge
knowlege,knowledge
knwo,know
knwon,known
knwos,knows
konw,know
konwn,known
konws,knows
l1,L1
l12,L1/L2
l1l2,L1/L2
l2,L2
l23,L2/L3
l2l3,L2/L3
l3,L3
l34,L3/L4
l3l4,L3/L4
l4,L4
l45,L4/L5
l4l5,L4/L5
l5,L5
l51,L5/S1
l5s1,L5/S1
labratory,laboratory
lastyear,last year
lb,left breast
lc,lymphangitis carcinomatosa
learnign,learning
lenght,length
let's him,lets him
let's it,lets it
let;s,let’s
leu,leukomalacic
levle,level
libary,library
librarry,library
librery,library
liek,like
liekd,liked
lieutenent,lieutenant
liev,live
likly,likely
lisense,license
littel,little
litttle,little
liuke,like
liveing,living
lk,left kidney
ln,lymph nodes
lo,left ovary
loca,localization
locali,localized
loev,love
lonly,lonely
lookign,looking
ls,left sided
lw,leftward
lyma,lymphadenopathy
maintenence,maintenance
makeing,making
managment,management
mantain,maintain
marraige,marriage
maxi,maxillary
may of been,may have been
may of had,may have had
meas,measures
memeber,member
merchent,merchant
mesage,message
mesages,messages
mets,metastatic
might of been,might have been
might of had,might have had
mispell,misspell
mispelling,misspelling
mispellings,misspellings
mkae,make
mkaes,makes
mkaing,making
ml,mass lesion
mlms,multiloculated multiseptated
mo,moderate
mod,moderately
modi,monochorionic-diamniotic
modic,Modic
moeny,money
momo,monochorionic monoamniotic
morgage,mortgage
mri,MRI
mroe,more
ms,mild splenomegaly
msucle,muscle
msucles,muscles
mt,mucosal thickening
muco,mucosal
mul,multiple
must of been,must have been
must of had,must have had
mysefl,myself
myu,my
na,normal appearing
naive,naïve
nar,narrowing
necassarily,necessarily
necassary,necessary
neccessarily,necessarily
neccessary,necessary
necesarily,necessarily
necesary,necessary
negotiaing,negotiating
neoplasatic,neoplastic
nhl,NHL
nkow,know
nothign,nothing
nr,nerve root
ns,nasal septum
nt,nasal turbinates
nver,never
nwe,new
nwo,now
obediant,obedient
obli,obliterating
obv,obvious
ocasion,occasion
occassion,occasion
occured,occurred
occurence,occurrence
occurrance,occurrence
oclock,o'clock
ocur,occur
oeprator,operator
ofits,of its
oft he,of the
ofthe,of the
oging,going
ohter,other
omre,more
oneof,one of
onepoint,one point
ont he,on the
onthe,on the
onyl,only
opa,opacification of
oppasite,opposite
opperation,operation
oppertunity,opportunity
opposate,opposite
opposible,opposable
opposit,opposite
oppotunities,opportunities
oppotunity,opportunity
orginization,organization
orginized,organized
os,oval shaped
otehr,other
oth,otherwise
otu,out
outof,out of
ova,oval-shaped
overthe,over the
owrk,work
owuld,would
oxident,oxidant
papaer,paper
parliment,parliament
partof,part of
paymetn,payment
paymetns,payments
pc,Post cholecystectomy.
pcho,Post-cholecystectomy.
pciture,picture
pcs,pelvicalyceal system
pd,parenchymal disease
pe,pleural effusion
peice,piece
peices,pieces
peolpe,people
peopel,people
percentof,percent of
percentto,percent to
performence,performance
perhasp,perhaps
perhpas,perhaps
permanant,permanent
perminent,permanent
personalyl,personally
phm,pseudohermaphroditism
phys,post-hysterectomy.
pi,parsinterarticularis
pic,picture
pl,parenchymal loss
pleasent,pleasant
pn,pyelonephritis
pne,pneumatization
pns,paranasal sinuses
po,post-operative
poeple,people
poly,polypoid
porblem,problem
porblems,problems
porvide,provide
possable,possible
posteiro,posterior
postieor,posterior
postion,posterio
postior,posterior
postition,position
potentialy,potentially
ppf,periportal fibrosis
pr,parenchymal reduction
pregnent,pregnant
presance,presence
pro,prominent
probelm,problem
probelms,problems
prominant,prominent
protege,protégé
protoge,protégé
ps,planum sphenoidale
psoition,position
pt,parenchymal thickness
ptogress,progress
puj,PUJ
pul,pulmonary
puting,putting
pv,PV
pwoer,power
quater,quarter
quaters,quarters
quesion,question
quesions,questions
questioms,questions
questiosn,questions
questoin,question
quetion,question
quetions,questions
rad,radiology
rb,right breast
rc,reflecting cystitis
rd,retinal detachment
realyl,really
reccomend,recommend
reccommend,recommend
receieve,receive
recieve,receive
recieved,received
recieving,receiving
recomend,recommend
recomendation,recommendation
recomendations,recommendations
recomended,recommended
reconize,recognize
recrod,record
rel,relatively
religous,religious
reluctent,reluctant
rem,remarkable
remeber,remember
reommend,recommend
rep,representing
representativs,representatives
representives,representatives
represetned,represented
represnt,represent
reserach,research
resollution,resolution
resorces,resources
respomd,respond
respomse,response
responce,response
responsability,responsibility
responsable,responsible
responsibile,responsible
responsiblity,responsibility
restaraunt,restaurant
restuarant,restaurant
reult,result
reveiw,review
reveiwing,reviewing
rigth,right
rk,right kidney
rl,(Rt.  & Lt. )
ro,right ovary
rs,right sided
rumers,rumors
rw,rightward
rwite,write
rythm,rhythm
s1,S1
sa,similar appearing
saidhe,said he
saidit,said it
saidt he,said the
saidthat,said that
saidthe,said the
scedule,schedule
sceduled,scheduled
scl,sclerotic
seance,séance
secratary,secretary
sectino,section
segmetn,segment
seh,she
selectoin,selection
sentance,sentence
separeate,separate
seperate,separate
sercumstances,circumstances
shcool,school
she;ll,she’ll
shesaid,she said
shineing,shining
shiped,shipped
shoudl,should
shoudln't,shouldn’t
should of been,should have been
should of had,should have had
shouldent,shouldn’t
shouldn;t,shouldn’t
shouldnt,shouldn’t
showinf,showing
sig,significant
signifacnt,significant
simalar,similar
similiar,similar
simpyl,simply
sincerly,sincerely
sitll,still
sj,sacroiliac joints
smae,same
smoe,some
soem,some
sohw,show
soical,social
somethign,something
someting,something
somewaht,somewhat
somthing,something
somtimes,sometimes
sot hat,so that
soudn,sound
soudns,sounds
spd,spondylodegenerative
speach,speech
specificaly,specifically
specificalyl,specifically
sphe,sphenoidal
spl,splenomegaly
sply,spondylolisthesis
spsp,spondylolysis spondylolisthesis
sr,S.R.
st,soft-tissue
statment,statement
statments,statements
stnad,stand
stopry,story
stoyr,story
stpo,stop
str,structure
strentgh,strength
stroy,story
struggel,struggle
strugle,struggle
studnet,student
successfull,successful
successfuly,successfully
successfulyl,successfully
sucess,success
sucessfull,successful
sufficiant,sufficient
suposed,supposed
suppossed,supposed
suprise,surprise
suprised,surprised
sv,SV
swiming,swimming
tahbso,TAH & BSO
tahn,than
taht,that
talekd,talked
talkign,talking
tath,that
tb,TB
tc,tympanic cavity
tecnical,technical
teh,the
tehy,they
tellt he,tell the
termoil,turmoil
tghe,the
tghis,this
thansk,thanks
thats,that’s
thatt he,that the
thatthe,that the
thd,thickened
thecompany,the company
thefirst,the first
thegovernment,the government
their are,there are
their is,there is
themself,themselves
themselfs,themselves
thenew,the new
there's is,theirs is
theri,their
thesame,the same
thetwo,the two
they're are,there are
they're is,there is
they;l,they’ll
they;ll,they’ll
they;r,they’re
they;re,they’re
they;v,they’ve
they;ve,they’ve
theyll,they’ll
theyve,they’ve
thgat,that
thge,the
thi,thickening
thier,their
thigsn,things
thisyear,this year
thna,than
thne,then
thnig,thing
thnigs,things
threatend,threatened
thsi,this
thsoe,those
thta,that
tihs,this
timne,time
tiogether,together
tirad,TIRAD
tirads,TIRADs
tje,the
tjhe,the
tkae,take
tkaes,takes
tkaing,taking
tlaking,talking
tle,to a lesser extent
tm,tumor mass
todya,today
togehter,together
toldt he,told the
tomorow,tomorrow
tongiht,tonight
tonihgt,tonight
tonsilar,tonsillar
tot he,to the
totaly,totally
totalyl,totally
tothe,to the
towrad,toward
traditionalyl,traditionally
transfered,transferred
trt,the rest of the
truely,truly
truley,truly
tryed,tried
tthe,the
tyhat,that
tyhe,the
ub,UB
udnerstand,understand
understnad,understand
undert he,under the
unitedstates,United States
unliek,unlike
unpleasently,unpleasantly
untilll,until
upepr,upper
us,US
useing,using
usualyl,usually
var,(variation)
vep,vertebral endplates
veyr,very
vi,VIDE INFRA.
virtualyl,virtually
vis-a-vis,vis-à-vis
vo,vertebral osteoporosis
vrey,very
vs,ventricular system
vsi,variable sized
vuj,VUJ
vulnerible,vulnerable
vz,variable sized
wa snot,was not
waht,what
warrent,warrant
wasnt,wasn’t
watn,want
wd,well-defined
we;d,we’d
we;ll,we’ll
we;re,we’re
we;ve,we’ve
wehn,when
wern't,weren’t
werre,were
what;s,what’s
whcih,which
whent he,when the
where;s,where’s
wherre,where
whic,which
whicht he,which the
whihc,which
who;s,who’s
who;ve,who’ve
whta,what
wi,with
wief,wife
wierd,weird
wihch,which
wiht,with
will of been,will have been
will of had,will have had
willbe,will be
windoes,windows
wis,WIs
witha,with a
withe,with
witht he,with the
withthe,with the
wiull,will
wm,white matter
wnat,want
wnated,wanted
wnats,wants
wo'nt,won’t
woh,who
wohle,whole
wokr,work
won;t,won’t
woudl,would
woudln't,wouldn’t
would of been,would have been
would of had,would have had
wouldbe,would be
wouldn;t,wouldn’t
wouldnt,wouldn’t
wriet,write
writting,writing
wrod,word
wroet,wrote
wroking,working
wtih,with
wuould,would
wya,way
yera,year
yeras,years
yersa,years
yoiu,you
you're own,your own
you;d,you’d
you;re,you’re
youare,you are
your a,you’re a
your an,you’re an
your her,you’re her
your here,you’re here
your his,you’re his
your my,you’re my
your the,you’re the
your their,you’re their
your your,you’re your
youve,you’ve
ytou,you
yuo,you
yuor,your
